item,itemLabel,participating_team,participating_teamLabel
http://www.wikidata.org/entity/Q4484508,1977 FA Cup Final,http://www.wikidata.org/entity/Q18656,Manchester United F.C.
http://www.wikidata.org/entity/Q1415494,1962 FA Cup Final,http://www.wikidata.org/entity/Q19458,Burnley F.C.
http://www.wikidata.org/entity/Q10858415,1900 FA Cup Final,http://www.wikidata.org/entity/Q18732,Southampton F.C.
http://www.wikidata.org/entity/Q10858419,1969 FA Cup Final,http://www.wikidata.org/entity/Q50602,Manchester City F.C.
http://www.wikidata.org/entity/Q4564023,1937 FA Cup Final,http://www.wikidata.org/entity/Q18739,Sunderland A.F.C.
http://www.wikidata.org/entity/Q10858417,1954 FA Cup Final,http://www.wikidata.org/entity/Q19612,Preston North End F.C.
http://www.wikidata.org/entity/Q796678,1890 FA Cup Final,http://www.wikidata.org/entity/Q19498,Sheffield Wednesday F.C.
http://www.wikidata.org/entity/Q648465,2002 FA Cup Final,http://www.wikidata.org/entity/Q9616,Chelsea F.C.
http://www.wikidata.org/entity/Q1413320,1901 FA Cup Final,http://www.wikidata.org/entity/Q19607,Sheffield United F.C.
http://www.wikidata.org/entity/Q4564023,1937 FA Cup Final,http://www.wikidata.org/entity/Q19612,Preston North End F.C.
http://www.wikidata.org/entity/Q10858417,1954 FA Cup Final,http://www.wikidata.org/entity/Q18744,West Bromwich Albion F.C.
http://www.wikidata.org/entity/Q4484508,1977 FA Cup Final,http://www.wikidata.org/entity/Q1130849,Liverpool F.C.
http://www.wikidata.org/entity/Q4120865,1987 FA Cup Final,http://www.wikidata.org/entity/Q19580,Coventry City F.C.
http://www.wikidata.org/entity/Q105686379,2021 FA Cup Final,http://www.wikidata.org/entity/Q19481,Leicester City F.C.
http://www.wikidata.org/entity/Q4562832,1931 FA Cup Final,http://www.wikidata.org/entity/Q18744,West Bromwich Albion F.C.
http://www.wikidata.org/entity/Q4559327,1911 FA Cup Final,http://www.wikidata.org/entity/Q48879,Bradford City A.F.C.
http://www.wikidata.org/entity/Q10858410,1891 FA Cup Final,http://www.wikidata.org/entity/Q19446,Blackburn Rovers F.C.
http://www.wikidata.org/entity/Q4484478,1909 FA Cup Final,http://www.wikidata.org/entity/Q19456,Bristol City F.C.
http://www.wikidata.org/entity/Q4581017,1983 FA Cup Final,http://www.wikidata.org/entity/Q18656,Manchester United F.C.
